Dataset,Size,Time type,Time Cost
CW-AIOps,60000,Insert Time,0.248671293258667
CW-AIOps,70000,Data Feature Collection Time,3.33261775970459
CW-AIOps,70000,Insert Time,0.2998216152191162
CW-AIOps,80000,Data Feature Collection Time,3.808021465937296
CW-AIOps,80000,Insert Time,0.3017563819885254
CW-AIOps,90000,Data Feature Collection Time,4.270723342895508
CW-AIOps,90000,Insert Time,0.3772866725921631
CW-AIOps,100000,Data Feature Collection Time,4.731678247451782
CW-AIOps,100000,Insert Time,0.396761417388916
CW-AIOps,10000,Data Feature Collection Time,0.4878385066986084
CW-AIOps,10000,Insert Time,0.1385841369628906
CW-AIOps,20000,Data Feature Collection Time,1.0072290897369385
CW-AIOps,20000,Insert Time,0.1604936122894287
CW-AIOps,30000,Data Feature Collection Time,1.4780538082122805
CW-AIOps,30000,Insert Time,0.1832644939422607
CW-AIOps,40000,Data Feature Collection Time,1.9661527474721272
CW-AIOps,40000,Insert Time,0.2376999855041504
CW-AIOps,50000,Data Feature Collection Time,2.475131034851074
CW-AIOps,50000,Insert Time,0.2284362316131591
CW-AIOps,60000,Data Feature Collection Time,2.9446372985839844
CW-AIOps,60000,Insert Time,0.2500665187835693
